2018-02-06 17:38:40.2337 |  Info | Program | Grand Theft Multiplayer Server v0.1.640.64 
2018-02-06 17:38:40.2650 |  Info | Program |   Interface:         0.0.0.0 
2018-02-06 17:38:40.2650 |  Info | Program |   Port:                29600 
2018-02-06 17:38:40.2650 |  Info | Program |   Name:      ~r~Test Server ~b~ LSRP~g~ http://lossantos-rp.de/ 
2018-02-06 17:38:40.2650 |  Info | Program |   FQDN:                      
2018-02-06 17:38:40.2650 |  Info | Program |   Players:                10 
2018-02-06 17:38:40.2650 |  Info | Program |   Announce:             True 
2018-02-06 17:38:40.2650 |  Warn | Program | Port is not the default one, players on your local network won't be able to automatically detect you! 
2018-02-06 17:38:40.2650 |  Info | Program | Starting... 
2018-02-06 17:38:40.5306 |  Info | ConstantData | Loaded Language de 
2018-02-06 17:38:40.6400 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:38:40.6400 |  Info | GameServer | Loading resources... 
2018-02-06 17:38:40.6712 |  Info | GameServer | Starting admin 
2018-02-06 17:38:40.7963 |  Info | GameServer | Resource admin started. 
2018-02-06 17:38:40.7963 |  Info | GameServer | Starting LSRP 
2018-02-06 17:38:41.1401 |  Info | ServerAPI | Database initialized! 
2018-02-06 17:38:41.1401 |  Info | ServerAPI | [WHITELIST] Whitelist is aus 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loading homes... 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:1 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:2 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:3 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:4 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:5 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:6 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:7 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:8 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:9 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:10 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:11 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:12 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:13 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:14 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:15 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:16 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:17 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:18 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:19 
2018-02-06 17:38:41.1557 |  Info | ServerAPI | Loaded Home ID:20 
2018-02-06 17:38:41.1713 |  Info | GameServer | Resource LSRP started. 
2018-02-06 17:38:41.1713 |  Info | Program | Started! Waiting for connections. 
2018-02-06 17:38:41.1869 |  Info | Property | Loading oldskool properties... 
2018-02-06 17:38:41.1869 |  Info | Items | Items Lod 
2018-02-06 17:38:41.2025 |  Info | Items | Klamottenladen Lod 
2018-02-06 17:38:41.2182 |  Info | VehicleSpawner | load Owned Vehicles 
2018-02-06 17:38:41.2963 |  Info | Property | Loading oldskool properties... 
2018-02-06 17:38:41.2963 | Error | ScriptingEngine | EXCEPTION IN RESOURCE LSRP INSIDE SCRIPTENGINE Property Microsoft.CSharp.RuntimeBinder.RuntimeBinderException: System.Dynamic.ExpandoObject enthält keine Definition für doormanager.
   bei CallSite.Target(Closure , CallSite , Object )
   bei System.Dynamic.UpdateDelegates.UpdateAndExecute1[T0,TRet](CallSite site, T0 arg0)
   bei IcaroRPG.Property.Newskool..ctor(Boolean locked, Boolean forsale, Int32 hid, Int32 price, Vector3 ev, Int32 doormodel)
   bei IcaroRPG.Property.OnStart()
   bei GrandTheftMultiplayer.Server.Models.ScriptingEngine.<InvokeResourceStart>b__26_0()
   bei GrandTheftMultiplayer.Server.Models.ScriptingEngine.<>c__DisplayClass19_0.<MainThreadLoop>b__0(Object <p0>)
2018-02-06 17:38:56.1885 |  Warn | GameServer | Network warning ( 145 ): Suspected connection exploit attack [176.57.191.226], type: Malformed packet; stated payload length: 2784, remaining bytes: 4, action: blocked. 
2018-02-06 17:39:29.1608 |  Info | GameServer | Initiating connection: [87.162.242.59:63671] 
2018-02-06 17:39:29.2701 |  Info | GameServer | Processing connection: OMG-ITS-NEHNICYT (NehNicYT) [87.162.242.59] 
2018-02-06 17:39:29.3014 |  Info | GameServer | Initiating connection: [176.198.246.88:52461] 
2018-02-06 17:39:29.3639 |  Info | GameServer | Processing connection: ollii12387 (Kevin_Kings) [176.198.246.88] 
2018-02-06 17:39:29.5045 |  Info | GameServer | Connection established: OMG-ITS-NEHNICYT (NehNicYT) [87.162.242.59] 
2018-02-06 17:39:29.5358 |  Info | GameServer | Connection established: ollii12387 (Kevin_Kings) [176.198.246.88] 
2018-02-06 17:39:46.4751 |  Info | GameServer | Player disconnected: OMG-ITS-NEHNICYT (NehNicYT) [87.162.242.59], reason: You have been kicked. 
2018-02-06 17:39:53.0539 |  Info | GameServer | Initiating connection: [87.162.242.59:63671] 
2018-02-06 17:39:53.1164 |  Info | GameServer | Processing connection: OMG-ITS-NEHNICYT (NehNicYT) [87.162.242.59] 
2018-02-06 17:39:53.1789 |  Info | GameServer | Connection established: OMG-ITS-NEHNICYT (NehNicYT) [87.162.242.59] 
2018-02-06 17:40:11.4933 |  Info | GameServer | Player disconnected: OMG-ITS-NEHNICYT (NehNicYT) [87.162.242.59], reason: You have been kicked. 
2018-02-06 17:40:24.2447 |  Info | GameServer | Player disconnected: ollii12387 (Kevin_Kings) [176.198.246.88], reason: Quit 
2018-02-06 17:40:40.6527 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:42:40.6653 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:44:40.6780 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:46:40.6907 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:48:40.7033 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:50:40.7160 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:52:03.7091 |  Warn | GameServer | Network warning ( 145 ): Suspected connection exploit attack [95.91.227.143], type: Malformed packet; stated payload length: 2720, remaining bytes: 20, action: blocked. 
2018-02-06 17:52:40.7286 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:54:40.7413 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:56:40.7540 | Debug | GameServer | Announcing self to master server... 
2018-02-06 17:58:40.7666 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:00:40.7793 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:02:40.7920 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:04:40.8046 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:06:40.8173 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:08:40.8299 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:10:40.8426 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:12:40.8553 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:14:40.8679 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:16:40.8806 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:18:40.8932 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:20:40.9059 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:22:40.9186 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:24:40.9312 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:26:40.9439 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:28:40.9566 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:30:40.9692 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:32:40.9819 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:34:40.9945 | Debug | GameServer | Announcing self to master server... 
